formula,alpha_id,sharpe,fitness,turnover,margin_or_sub_sharpe,sharpe_test,fitness_test,turnover_min_test,turnover_max_test,weight_test,sub_sharpe_test,challenge_test,generation,status,passed_count
"ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)",wplRkPXl,1.26,1.17,0.0624,0.00345,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(close), 63) * rank(operating_expense)",A1Pw8M1Q,1.47,1.46,0.0645,0.003816,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)",N1rpE7e8,1.32,1.26,0.0509,0.004493,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(cap), 63) * rank(operating_expense)",58OOVElM,1.34,1.26,0.0638,0.003465,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",RR88Lg81,1.36,1.32,0.0725,0.003258,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",LL11eGOa,1.4,1.35,0.073,0.003167,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) - (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",JjOORqaA,1.36,1.32,0.0728,0.003246,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)",O0ZZWbkv,1.29,1.22,0.0659,0.003415,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) - (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",vRllA5YA,1.4,1.35,0.0735,0.003142,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * rank(operating_expense)",j200V6vk,1.32,1.27,0.07,0.003286,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) + rank(open)",aknnRQbx,1.25,1.16,0.0623,0.003449,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * rank(operating_expense), 10)",N1rrL1GX,1.27,1.19,0.0636,0.003476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_delay(scale(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",MPQQdqR9,1.52,1.5,0.0657,0.003688,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)",RR88lMv1,1.29,1.24,0.059,0.00393,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(ts_arg_max(scale(cap), 63) * rank(operating_expense), 5)",RR88l8Eb,1.31,1.22,0.0607,0.003603,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",blqqJRJp,1.31,1.25,0.0754,0.003011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))",3qRRPrLO,1.27,1.2,0.0633,0.003523,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",A1PPzY7Y,1.27,1.2,0.0633,0.003523,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",ZYnnzNGn,1.26,1.17,0.0624,0.00345,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",O0ZZzjAR,1.33,1.27,0.08,0.002867,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + rank(operating_expense)",vRll68Kv,1.36,1.32,0.0725,0.003258,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",YP009Lro,1.45,1.39,0.1047,0.002205,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)))",d500Povx,1.29,1.22,0.0647,0.003476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))) + (ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10))",xAkkE5Xl,1.29,1.22,0.0647,0.003476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)))",JjOOJMK2,1.42,1.47,0.0578,0.004612,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) + rank(volume)",88QQx1bl,1.3,1.25,0.0587,0.003937,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * rank(operating_expense)",1Ydd3196,1.41,1.35,0.0965,0.002361,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) + rank(operating_expense)",mLbbnX9x,1.28,1.23,0.0584,0.003976,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))) + (ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10))) - (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",GrLLj5L3,1.29,1.22,0.0648,0.003472,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 126) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",vRllEnnw,1.42,1.35,0.087,0.002596,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))) + rank(operating_expense)",omllbdJ5,1.27,1.2,0.0633,0.003524,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(est_sales))) * rank(operating_expense)",RR88gnoa,1.29,1.17,0.096,0.002136,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10))",O0ZZ3nMJ,1.4,1.42,0.0635,0.004028,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))",QPVVwMlw,1.33,1.27,0.1015,0.002237,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",58OOPWbo,1.4,1.37,0.0547,0.004402,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(close), 504) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)))",ZYnnOpqn,1.44,1.47,0.0636,0.00411,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_delay(scale(close), 126) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",QPV91k9g,1.5,1.45,0.0659,0.003549,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + (ts_arg_max(scale(anl4_ptp_flag), 63) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)))",WjGVEwNQ,1.31,1.25,0.073,0.003119,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_delay(scale(close), 252) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",LL1dP9kv,1.46,1.37,0.0667,0.003282,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(scale(close), 252) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",O0Zx0mRJ,1.47,1.46,0.0645,0.003816,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(anl4_ptp_flag), 504) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)))",RR81Rdke,1.31,1.29,0.0618,0.003937,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",QPV9ZX9p,1.25,1.17,0.0664,0.003318,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))",A1P7jEOW,1.29,1.22,0.0657,0.003427,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(high), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",KP9E3q3g,1.27,1.2,0.0746,0.002971,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(anl4_ptp_flag), 504) + (ts_decay_linear(ts_arg_max(scale(close), 63) * scale(open), 10))",RR8132Ge,1.29,1.24,0.0235,0.00985,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(high), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))",blqdkQXM,1.25,1.17,0.0769,0.002857,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"(ts_arg_max(rank(anl4_ptp_flag), 252) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10))) - (ts_decay_linear(ts_decay_linear(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10), 10), 5))",88Qe9eJX,1.28,1.12,0.0661,0.002888,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(est_sales))) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",rKlPgMRa,1.33,1.2,0.1023,0.002007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + (ts_decay_linear(ts_arg_max(scale(close), 63) * scale(open), 10))",np28Vgod,1.36,1.32,0.0725,0.003258,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_arg_max(scale(anl4_ptp_flag), 504) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",xAkd61el,1.29,1.25,0.0287,0.008189,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0.0,PASS,7.0
"ts_decay_linear(((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 5)",blqjWZo6,1.3,1.23,0.0757,0.002959,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_decay_linear((ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))), 10)",rKljrLla,1.38,1.4,0.0546,0.004722,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_decay_linear(ts_delay(scale(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense)), 20)",2rLla1vw,1.37,1.3,0.0518,0.004356,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_delay(rank(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",58Olq2E5,1.52,1.5,0.0655,0.003698,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_delay(rank(close), 63) + (ts_arg_max(rank(close), 63) * rank(operating_expense))",O0Z7nVzY,1.33,1.19,0.0659,0.003018,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(adv20))) * rank(operating_expense)",pwljneGb,1.39,1.34,0.0678,0.003437,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_decay_linear((ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))), 10)) * (ts_delay(rank(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense)))",xAkjRRjb,1.46,1.48,0.068,0.003784,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) + rank(operating_expense)",1YdwJK5k,1.32,1.26,0.0505,0.004549,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",xAkjnObl,1.32,1.26,0.0509,0.004493,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))) - (ts_decay_linear(ts_arg_max(scale(cap), 63) * rank(operating_expense), 5))",mLbjXaPp,1.27,1.2,0.0636,0.003487,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",E5Elw8KL,1.3,1.24,0.0655,0.003469,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_decay_linear(ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 5)",omlqKZAl,1.34,1.27,0.0688,0.003249,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_decay_linear((ts_decay_linear((ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))), 10)) * (ts_delay(rank(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense))), 10)",781j1AgL,1.39,1.38,0.0623,0.003954,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_arg_min(ts_arg_max(scale(close), 63) * scale(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",kq0j0jmP,1.47,1.41,0.1041,0.002223,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_arg_min(ts_arg_max(rank(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_arg_max(scale(close), 63) * rank(operating_expense))",3qRlR2nO,1.4,1.31,0.1029,0.002137,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense)) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))) * (ts_decay_linear((ts_decay_linear((ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))), 10)) * (ts_delay(rank(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense))), 10))",pwljKq1X,1.29,1.23,0.076,0.002974,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_delay(rank(close), 252) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",1YdwzjRJ,1.45,1.35,0.0665,0.003276,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20))",omlqgokb,1.5,1.56,0.0669,0.004048,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * (ts_delay(rank(close), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense)))",GrLlG0n5,1.45,1.39,0.0778,0.002937,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_delay(scale(close), 126) + (ts_arg_max(scale(anl4_ptp_flag), 63) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)))",KP97GEA8,1.28,1.14,0.0697,0.002849,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * rank(operating_expense)",E5ElGRjK,1.32,1.27,0.045,0.00511,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_decay_linear((ts_decay_linear((ts_decay_linear(ts_arg_max(scale(close), 504) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 10)) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) * ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * rank(operating_expense))), 20)",omlqqAom,1.34,1.35,0.05,0.005041,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + ((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(operating_expense), 20)) + (ts_arg_max(scale(close), 63) * rank(operating_expense)))",e70zzrp6,1.37,1.33,0.0721,0.003291,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_arg_min(ts_arg_max(scale(close), 63) * scale(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + rank(operating_expense)",pwljjPrx,1.46,1.38,0.1084,0.002073,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"ts_delay(rank(volume), 63) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",Xgn77vj5,1.53,1.5,0.0654,0.003694,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"(ts_decay_linear(ts_arg_max(scale(close), 63) * (ts_arg_max(scale(close), 63) * rank(operating_expense)), 5)) * (((ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) * rank(operating_expense))",xAkjYAoW,1.28,1.2,0.0855,0.002576,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + (ts_arg_max(scale(close), 63) * rank(operating_expense))",6X9lrxgJ,1.45,1.39,0.1049,0.002183,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_arg_min(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + (ts_decay_linear(ts_arg_max(scale(close), 63) * scale(open), 10))",N1r7Qrdw,1.44,1.37,0.1098,0.002047,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
"((ts_decay_linear(ts_delay(scale(close), 63) * rank(fnd6_txndbl), 10)) * (ts_arg_max(scale(close), 63) * rank(operating_expense))) + (ts_arg_max(scale(anl4_ptp_flag), 63) + (ts_decay_linear(ts_arg_max(scale(close), 63) * rank(fnd6_txndbl), 10)))",omlq6kNk,1.28,1.15,0.0716,0.002841,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,,
